Name,RA,DEC
A3542,197.173,-34.5754
A3548,198.5019,-44.1782
A3549,198.5258,-29.4249
A3552,199.73,-31.8179
A3553,199.8128,-37.1796
A3554,199.8814,-33.4888
A3556,201.0282,-31.6708
A3557,201.2298,-28.8877
A3558,201.9855,-31.4963
A3559,202.4626,-29.5147
A3560,202.9722,-33.2346
A3562,203.3947,-31.6723
A3563,203.4536,-42.543
A3564,203.7307,-35.0994
A3565,204.1627,-33.9658
A3570,206.6,-37.971
A3571,206.8684,-32.8644
A3572,207.0594,-33.3827
A3574,207.272,-30.2958
A3575,208.1598,-32.8881
A3577,208.5615,-27.8481
A3581,211.873,-27.0186
A3599,216.9523,-23.5421
A3603,218.3521,-31.8254
A3605,218.7682,-28.4255
A3615,225.7287,-80.5623
A3651,298.0359,-55.0628
A3656,300.2082,-38.5766
A3667,303.1139,-56.8271
A3676,306.1021,-40.3665
A3677,306.5982,-33.351
A3684,308.8428,-78.0939
A3685,308.0675,-56.4277
A3687,308.2502,-63.0292
A3698,308.9842,-25.2792
A3703,310.0072,-61.3338
A3716,312.9867,-52.63
A3731,315.4248,-38.4983
A3733,315.4961,-28.0596
A3736,316.2687,-43.4192
A3741,317.761,-82.1486
A3742,316.9678,-47.1787
A3744,316.8175,-25.469
A3747,317.1622,-43.4864
A3753,318.6332,-26.7703
A3764,321.5746,-34.7851
A3771,322.4437,-50.7058
A3781,323.6044,-66.8459
A3782,323.7987,-62.079
A3785,323.5741,-53.6369
A3796,324.8754,-51.3957
A3799,325.7601,-72.6601
A3806,326.595,-57.2874
A3809,326.7465,-43.8992
A3816,327.8754,-55.3375
A3822,328.751,-57.6579
A3825,329.5412,-60.2455
A3826,330.1012,-56.1786
A3844,333.3238,-34.6668
A3851,334.2507,-52.5274
A3869,335.1294,-55.125
A3879,336.9555,-69.0236
A3880,336.977,-30.5763
A3895,339.6907,-36.7444
A3897,339.7978,-17.3416
A3898,340.0435,-62.4152
A3912,341.5412,-36.0013
A3925,342.7925,-46.6728
A4008,352.6255,-39.2813
A4038,356.8679,-28.1096
A4049,357.9027,-28.3655
A4059,359.2515,-34.759
